,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,time_signature,cluster
19314,2CPqh63wRVscbceKcPxwvv,0.632,0.575,-6.478,0.029,0.0225,1.81e-06,0.188,90.037,4,19
19315,0wwPcA6wtMf6HUMpIRdeP7,0.891,0.628,-7.863,0.0551,0.00258,0.00019,0.552,134.966,4,19
19316,3CJvmtWw2bJsudbAC5uCQk,0.811,0.499,-7.161,0.118,0.0147,2.44e-06,0.466,111.016,4,19
19317,53Y0kdCa1CZ9gRqEuknfwy,0.599,0.869,-3.697,0.0789,0.0525,0.00719,0.593,108.061,4,28
19318,3O8NlPh2LByMU9lSRSHedm,0.59,0.468,-11.083,0.185,0.0789,0.0,0.349,92.287,4,12
19319,3P3pw6C19j31Rnzgo3JG7o,0.73,0.861,-4.1,0.0451,0.39,0.0,0.704,117.965,4,27
19320,3nef5W8jTkXrOKgCu4kmq7,0.662,0.602,-5.369,0.0401,0.0529,0.0,0.29,133.969,3,3
19321,2XMTqoHHSH0lvuXrvIEdco,0.683,0.708,-6.244,0.0305,0.0398,0.155,0.355,92.991,4,19
19322,6YZdkObH88npeKrrkb8Ggf,0.716,0.908,-3.254,0.103,0.0858,0.0,0.869,91.03,4,27
19323,27PmvZoffODNFW2p7ehZTQ,0.464,0.771,-4.503,0.336,0.0235,0.0,0.69,158.777,4,9
19324,27GmP9AWRs744SzKcpJsTZ,0.852,0.553,-7.286,0.187,0.0559,0.0,0.656,142.079,4,4
19325,6s3GEN8wK0OMzzzZbXj0fu,0.565,0.849,-3.516,0.0517,0.00868,4.68e-06,0.427,102.034,4,0
19326,4qqArAiTPueDxIp7cf87h7,0.695,0.672,-6.109,0.0345,0.014,7.95e-05,0.245,104.988,4,19
19327,3cNjgVBKTJ1SvKhunrCdVy,0.513,0.768,-4.868,0.0587,0.0118,1.94e-05,0.235,84.264,4,10
19328,2wJhFcye5iiW2mVBpGednz,0.653,0.623,-5.273,0.082,0.253,0.0,0.401,123.999,4,19
19329,6cREm4bV7V79Yxdilx9HDo,0.786,0.687,-5.914,0.141,0.00758,0.0,0.345,105.021,4,19
19330,6vSforRhuzsA0D0SO9fG1S,0.667,0.613,-5.353,0.0344,0.403,0.0,0.47,91.024,4,19
19331,7KxhSJOYiqCDclXDBNlFSZ,0.757,0.884,-5.488,0.0404,0.00795,5.87e-05,0.398,120.012,4,19
19332,7fBv7CLKzipRk6EC6TWHOB,0.585,0.564,-7.063,0.0515,0.0671,0.0,0.137,113.003,4,19
19333,6TaqooOXAEcijL6G1AWS2K,0.681,0.521,-5.849,0.141,0.12,8.41e-05,0.181,94.997,4,19
19334,0bmm9xZUJQDR1tBhWtIXVM,0.741,0.626,-4.826,0.0886,0.02,0.0,0.706,108.029,4,27
19335,7EiZI6JVHllARrX9PUvAdX,0.722,0.331,-7.789,0.0726,0.337,0.282,0.102,143.961,4,1
19336,66hayvUbTotekKU3H4ta1f,0.432,0.781,-4.038,0.0567,0.041,4.21e-06,0.197,139.432,4,0
19337,3MRXHgNRvuFlDrxQt8Arvu,0.671,0.613,-4.225,0.102,0.414,0.0,0.498,99.845,4,19
